status,alias,nazwa,typ,resolution,fps,codec,streamid,server,hls,poprzedni_status,adres_strony,uwagi
ONLINE,mallafre,Refugi Mallafre,góry / narty,3840x2160,6.51,h265,b0lw3cfisfvx0cu2p,http://s176.ipcamlive.com/,https://s176.ipcamlive.com/streams/b0lw3cfisfvx0cu2p/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/mallafre,segment OK
ONLINE,znpvkamera2,Słowenia - Planina nad Vrhniko,góry / narty,1920x1080,20.83,h264,3akzjpb4u3frw0nal,http://s58.ipcamlive.com/,https://s58.ipcamlive.com/streams/3akzjpb4u3frw0nal/stream.m3u8,ONLINE,https://www.ipcamlive.com/znpvkamera2,segment OK
ONLINE,63cb127a0a4f9,USA - Royal Mountain,góry / narty,1920x1080,25.00,h264,36dwelvyxmtujnffv,http://s54.ipcamlive.com/,https://s54.ipcamlive.com/streams/36dwelvyxmtujnffv/stream.m3u8,ONLINE,https://www.ipcamlive.com/63cb127a0a4f9,segment OK
ONLINE,homolka,Valaská Belá Homôlka - wyciąg,góry / narty,1024x576,30.03,h264,a81wi3sq8wzbea6ul,http://s168.ipcamlive.com/,https://s168.ipcamlive.com/streams/a81wi3sq8wzbea6ul/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/homolka,segment OK
ONLINE,athens,Athens I65 and HWY72,inne,1280x720,25.00,h264,75lkiwj894bls7v6d,http://s117.ipcamlive.com/,https://s117.ipcamlive.com/streams/75lkiwj894bls7v6d/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/athens,segment OK
ONLINE,balneariorosana,Balneário Municipal de Rosana,inne,1920x1080,28.57,h264,88tp6oj7rgfnyrtqo,http://s136.ipcamlive.com/,https://s136.ipcamlive.com/streams/88tp6oj7rgfnyrtqo/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/balneariorosana,segment OK
ONLINE,broadway1a,Broadway Camera 1,inne,1920x1080,14.97,h264,64onky7vsthitfs84,http://s100.ipcamlive.com/,https://s100.ipcamlive.com/streams/64onky7vsthitfs84/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/broadway1a,segment OK
ONLINE,broadway2a,Broadway Camera 2,inne,1920x1080,14.62,h264,03x3owzj5apbsy4wn,http://s3.ipcamlive.com/,https://s3.ipcamlive.com/streams/03x3owzj5apbsy4wn/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/broadway2a,segment OK
ONLINE,campradjpolitielow,Camp Radj politie low,inne,640x480,25.00,h265,96d1q9jkeehy7krm5,http://s150.ipcamlive.com/,https://s150.ipcamlive.com/streams/96d1q9jkeehy7krm5/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/campradjpolitielow,segment OK
ONLINE,camp48a,camp48a,inne,1280x720,23.98,h264,a8wtyqmndujdq04yc,http://s168.ipcamlive.com/,https://s168.ipcamlive.com/streams/a8wtyqmndujdq04yc/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/camp48a,segment OK
ONLINE,cedarcoveresort,Cedar Cove Resort,inne,1920x1080,30.03,h264,349zmc6lti10kmyrx,http://s52.ipcamlive.com/,https://s52.ipcamlive.com/streams/349zmc6lti10kmyrx/stream.m3u8,ONLINE,https://www.ipcamlive.com/cedarcoveresort,segment OK
ONLINE,63609c3400e64,Central,inne,800x450,30.03,h264,341wnmb5vrdagsv37,http://s52.ipcamlive.com/,https://s52.ipcamlive.com/streams/341wnmb5vrdagsv37/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/63609c3400e64,segment OK
ONLINE,kovacine,Chorwacja - Kovacine,inne,1920x1080,25.00,h264,15f1p5wgxryqas2ib,http://s21.ipcamlive.com/,https://s21.ipcamlive.com/streams/15f1p5wgxryqas2ib/stream.m3u8,ONLINE,https://www.ipcamlive.com/kovacine,segment OK
ONLINE,lissycaseychurch,Church Camera,inne,1920x1080,20.00,h264,01nmjxwjib7l6dasc,http://s1.ipcamlive.com/,https://s1.ipcamlive.com/streams/01nmjxwjib7l6dasc/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/lissycaseychurch,segment OK
ONLINE,crisnjevo,Crisnjevo,inne,1920x1080,25.00,h264,18f4iav8r0mzrg56t,http://s24.ipcamlive.com/,https://s24.ipcamlive.com/streams/18f4iav8r0mzrg56t/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/crisnjevo,segment OK
ONLINE,decatur,Decatur,inne,1280x720,25.00,h264,7398i2lefaz16xavw,http://s115.ipcamlive.com/,https://s115.ipcamlive.com/streams/7398i2lefaz16xavw/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/decatur,segment OK
ONLINE,fasoula,Fasoula,inne,1920x1080,25.00,h264,2cf2iv7bdoljyqhzg,http://s44.ipcamlive.com/,https://s44.ipcamlive.com/streams/2cf2iv7bdoljyqhzg/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/fasoula,segment OK
ONLINE,otport,Francja - Saintes-Maries-de-la-Mer,inne,640x480,14.73,h264,a9rzg86kuxxitrvge,http://s169.ipcamlive.com/,https://s169.ipcamlive.com/streams/a9rzg86kuxxitrvge/stream.m3u8,ONLINE,https://www.ipcamlive.com/otport,segment OK
ONLINE,fcscam,Fun Country Soaring,inne,1920x1080,14.93,h264,9dule6rummqpd3jl9,http://s157.ipcamlive.com/,https://s157.ipcamlive.com/streams/9dule6rummqpd3jl9/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/fcscam,segment OK
ONLINE,dagilberto,Grecja - Rodos,inne,1280x720,12.48,h264,1fk78s9ucgojiawyj,http://s31.ipcamlive.com/,https://s31.ipcamlive.com/streams/1fk78s9ucgojiawyj/stream.m3u8,ONLINE,https://www.ipcamlive.com/dagilberto,segment OK
